ID,ThemeName,KeyTextColor,PredictionBarColor,KeyBackgroundColor,KeyboardBackgroundColor
KBC_01,Blush,0xFFFFFFFF,0xFFF76D6D,0xFFF76D6D,0xFFFF9FA0
KBC_02,Lilac,0xFFFFFFFF,0xFFC460FB,0xFFDFA4FF,0xFFDFA4FF
KBC_03,Dusk,0xFFFFFFFF,0xFFF9856B,0xFFF9856B,0xFFFFC69C
KBC_04,Dew,0xFFFFFFFF,0xFF2BB86C,0xFF2BB86C,0xFF85EF96
KBC_05,Lagoon,0xFFFFFFFF,0xFF0AA4A4,0xFF0AA4A4,0xFF52E0E0
KBC_06,Citrus,0xFFFFFFFF,0xFF90940C,0xFF90940C,0xFFC5C925
KBC_07,Saffron,0xFFFFFFFF,0xFFB19116,0xFFB19116,0xFFFED147
KBC_08,Frost,0xFFFFFFFF,0xFFA5A3A3,0xFFA5A3A3,0xFFFFFFFF
KBC_09,Mist,0xFFFFFFFF,0xFF674A4A,0xFF674A4A,0xFF927171
KBC_10,Slate,0xFFFFFFFF,0xFF484646,0xFF484646,0xFF8A8A8A
KBC_11,Rain,0xFFFFFFFF,0xFF3C474B,0xFF3C474B,0xFFA8AFB4
KBC_12,Aurora,0xFFFFFFFF,0xFF488219,0xFF488219,0xFF84D246
KBC_13,Cobalt,0xFFFFFFFF,0xFF4D4DE0,0xFF4D4DE0,0xFF9D9DFF
KBC_14,Eclipse,0xFFFFFFFF,0xFF6E38C7,0xFF6E38C7,0xFFAE80FA
KBC_15,Twilight,0xFFFFFFFF,0xFFB62E90,0xFFB62E90,0xFFF67FD5
KBC_16,Poppy,0xFFFFFFFF,0xFFFF939A,0xFFFF939A,0xFFFF6161
KBC_17,Flora,0xFFFFFFFF,0xFFB497FF,0xFFB497FF,0xFF9261FF
KBC_18,Spice,0xFFFFFFFF,0xFFCC4B59,0xFFCC4B59,0xFFE03F1B
KBC_19,Bloom,0xFFFFFFFF,0xFFE84088,0xFFF03F8B,0xFFC72A6D
KBC_20,Maple,0xFFFFFFFF,0xFFF54D66,0xFFF54D66,0xFFC31630
KBC_21,Moss,0xFFFFFFFF,0xFF215E2B,0xFF215E2B,0xFF002B07
KBC_22,Jade,0xFFFFFFFF,0xFF245E66,0xFF245E66,0xFF002A30
KBC_23,Wisteria,0xFFFFFFFF,0xFF23305E,0xFF23305E,0xFF000A2F
KBC_24,Grape,0xFFFFFFFF,0xFF4C3373,0xFF4C3373,0xFF12002F
KBC_25,Berry,0xFFFFFFFF,0xFF511D4F,0xFF511D4F,0xFF2E002C
KBC_26,Haze,0xFFFFFFFF,0xFF606D77,0xFF606D77,0xFF313A41
KBC_27,Granite,0xFFFFFFFF,0xFF3C474B,0xFF3C474B,0xFF13222C
KBC_28,Velvet,0xFFFFFFFF,0xFF473649,0xFF473649,0xFF190117
KBC_29,Shadow,0xFFFFFFFF,0xFF4F5050,0xFF4F5050,0xFF353535
KBC_30,Charcoal,0xFFFFFFFF,0xFF373737,0xFF373737,0xFF030303
KBC_31,Scarlet,0xFFFFFFFF,0xFF993C43,0xFF993C43,0xFF40000A
